sigma,accuracy
0.000000,89.230000
0.010000,89.260000
0.020000,89.270000
0.030000,89.140000
0.040000,89.230000
0.050000,89.280000
0.060000,89.250000
0.070000,89.190000
0.080000,89.190000
0.090000,88.960000
0.100000,89.010000
0.110000,88.810000
0.120000,89.150000
0.130000,89.020000
0.140000,88.710000
0.150000,88.420000
0.160000,88.320000
0.170000,88.460000
0.180000,88.260000
0.190000,88.190000
0.200000,87.600000
0.210000,87.400000
0.220000,87.580000
0.230000,87.380000
0.240000,86.720000
0.250000,86.850000
0.260000,86.190000
0.270000,85.920000
0.280000,85.790000
0.290000,85.180000
0.300000,84.810000
0.310000,84.210000
0.320000,84.140000
0.330000,83.880000
0.340000,82.930000
0.350000,82.980000
0.360000,82.430000
0.370000,81.910000
0.380000,81.500000
0.390000,80.660000
0.400000,79.460000
0.410000,78.790000
0.420000,78.700000
0.430000,77.920000
0.440000,77.400000
0.450000,76.780000
0.460000,76.050000
0.470000,74.790000
0.480000,73.940000
0.490000,72.950000
0.500000,72.510000
