sigma,accuracy
0.000000,85.650000
0.010000,85.640000
0.020000,85.520000
0.030000,85.580000
0.040000,85.460000
0.050000,85.450000
0.060000,85.460000
0.070000,85.140000
0.080000,85.020000
0.090000,85.250000
0.100000,85.150000
0.110000,84.690000
0.120000,84.580000
0.130000,84.470000
0.140000,84.350000
0.150000,84.270000
0.160000,83.820000
0.170000,83.680000
0.180000,83.600000
0.190000,83.630000
0.200000,83.440000
0.210000,82.880000
0.220000,82.800000
0.230000,82.330000
0.240000,82.150000
0.250000,81.780000
0.260000,81.190000
0.270000,80.950000
0.280000,80.530000
0.290000,79.940000
0.300000,79.340000
0.310000,79.300000
0.320000,78.930000
0.330000,77.980000
0.340000,77.380000
0.350000,76.880000
0.360000,76.090000
0.370000,75.880000
0.380000,75.100000
0.390000,74.310000
0.400000,74.110000
0.410000,73.440000
0.420000,72.390000
0.430000,71.690000
0.440000,70.840000
0.450000,70.050000
0.460000,68.890000
0.470000,68.150000
0.480000,67.700000
0.490000,66.860000
0.500000,65.500000
