sigma,accuracy
0.000000,90.030000
0.010000,90.010000
0.020000,90.020000
0.030000,90.100000
0.040000,90.030000
0.050000,90.040000
0.060000,90.010000
0.070000,90.040000
0.080000,89.860000
0.090000,89.910000
0.100000,89.940000
0.110000,89.770000
0.120000,89.640000
0.130000,89.730000
0.140000,89.380000
0.150000,89.490000
0.160000,89.380000
0.170000,89.120000
0.180000,89.190000
0.190000,88.990000
0.200000,88.650000
0.210000,88.510000
0.220000,88.210000
0.230000,88.200000
0.240000,87.920000
0.250000,87.450000
0.260000,87.350000
0.270000,87.100000
0.280000,87.070000
0.290000,86.360000
0.300000,86.280000
0.310000,85.840000
0.320000,85.390000
0.330000,85.080000
0.340000,84.610000
0.350000,84.260000
0.360000,83.650000
0.370000,83.370000
0.380000,82.720000
0.390000,82.330000
0.400000,81.840000
0.410000,81.420000
0.420000,80.970000
0.430000,80.300000
0.440000,79.310000
0.450000,78.790000
0.460000,77.780000
0.470000,77.610000
0.480000,76.780000
0.490000,75.690000
0.500000,75.130000
