sigma,accuracy
0.000000,87.760000
0.010000,87.820000
0.020000,87.750000
0.030000,87.900000
0.040000,87.690000
0.050000,87.690000
0.060000,87.560000
0.070000,87.530000
0.080000,87.470000
0.090000,87.250000
0.100000,87.190000
0.110000,87.240000
0.120000,87.070000
0.130000,87.080000
0.140000,86.630000
0.150000,86.580000
0.160000,86.340000
0.170000,86.310000
0.180000,86.050000
0.190000,85.850000
0.200000,85.720000
0.210000,85.350000
0.220000,85.350000
0.230000,85.030000
0.240000,84.650000
0.250000,84.450000
0.260000,84.050000
0.270000,83.810000
0.280000,83.640000
0.290000,83.280000
0.300000,82.700000
0.310000,82.340000
0.320000,81.810000
0.330000,81.440000
0.340000,80.990000
0.350000,80.780000
0.360000,80.050000
0.370000,80.160000
0.380000,78.980000
0.390000,78.700000
0.400000,78.070000
0.410000,77.220000
0.420000,76.470000
0.430000,76.230000
0.440000,75.730000
0.450000,75.560000
0.460000,74.000000
0.470000,73.190000
0.480000,72.740000
0.490000,72.070000
0.500000,70.840000
